Fold,SVR_MSE,RF_Baseline_MSE,RF_GAN_MSE
1,0.12280179387304051,0.0317164843593211,0.3917074937848886
2,0.46209799091401,0.029067070984277087,0.043536345075177785
3,0.26337292159261316,0.1571712086469403,0.15461376398751628
4,0.17719844270141424,0.1466821019038603,0.14579500907947138
5,0.8288214170208521,0.19424351712027532,0.14833345140834506
6,0.12041861033081334,0.025524123091755686,0.521945614086555
7,0.08991965833514902,0.016760452839007532,0.2809891161078398
8,0.09715012033728455,0.01704861561602186,0.11375335049259871
9,0.04108315601314396,0.02666040368767276,0.02024858243663502
